,ts_code,trade_date,close
565,600609.SH,2019-06-06,3.71
566,600887.SH,2019-06-06,30.0
567,601318.SH,2019-06-06,77.11
568,600036.SH,2019-06-05,33.95
569,600609.SH,2019-06-05,3.83
570,600887.SH,2019-06-05,30.12
571,601318.SH,2019-06-05,77.5
572,600036.SH,2019-06-04,34.03
573,600609.SH,2019-06-04,3.9
574,600887.SH,2019-06-04,30.29
575,601318.SH,2019-06-04,77.97
576,600036.SH,2019-06-03,34.4
577,600609.SH,2019-06-03,3.94
578,600887.SH,2019-06-03,30.59
579,601318.SH,2019-06-03,79.25
580,600036.SH,2019-05-31,34.21
581,600609.SH,2019-05-31,3.97
582,600887.SH,2019-05-31,30.01
583,601318.SH,2019-05-31,79.0
584,600036.SH,2019-05-30,34.3
585,600609.SH,2019-05-30,3.94
586,600887.SH,2019-05-30,30.06
587,601318.SH,2019-05-30,79.09
588,600036.SH,2019-05-29,34.25
589,600609.SH,2019-05-29,3.98
590,600887.SH,2019-05-29,29.92
591,601318.SH,2019-05-29,79.78
592,600036.SH,2019-05-28,34.38
593,600609.SH,2019-05-28,4.0
594,600887.SH,2019-05-28,30.35
595,601318.SH,2019-05-28,78.19
596,600036.SH,2019-05-27,33.78
597,600609.SH,2019-05-27,4.07
598,600887.SH,2019-05-27,30.01
599,601318.SH,2019-05-27,77.18
600,600036.SH,2019-05-24,33.6
601,600609.SH,2019-05-24,4.06
602,600887.SH,2019-05-24,29.9
603,601318.SH,2019-05-24,76.5
604,600036.SH,2019-05-23,33.35
605,600609.SH,2019-05-23,3.95
606,600887.SH,2019-05-23,29.91
607,601318.SH,2019-05-23,75.44
608,600036.SH,2019-05-22,33.53
609,600609.SH,2019-05-22,4.06
610,600887.SH,2019-05-22,30.3
611,601318.SH,2019-05-22,77.64
612,600036.SH,2019-05-21,33.63
613,600609.SH,2019-05-21,4.12
614,600887.SH,2019-05-21,30.25
615,601318.SH,2019-05-21,78.2
616,600036.SH,2019-05-20,33.28
617,600609.SH,2019-05-20,4.07
618,600887.SH,2019-05-20,30.08
619,601318.SH,2019-05-20,77.87
620,600036.SH,2019-05-17,33.31
621,600609.SH,2019-05-17,4.07
622,600887.SH,2019-05-17,30.41
623,601318.SH,2019-05-17,79.1
624,600036.SH,2019-05-16,33.67
625,600609.SH,2019-05-16,4.2
626,600887.SH,2019-05-16,31.4
627,601318.SH,2019-05-16,80.97
628,600036.SH,2019-05-15,33.63
629,600609.SH,2019-05-15,4.19
630,600887.SH,2019-05-15,31.03
631,601318.SH,2019-05-15,80.54
632,600036.SH,2019-05-14,32.56
633,600609.SH,2019-05-14,4.08
634,600887.SH,2019-05-14,30.02
635,601318.SH,2019-05-14,78.3
636,600036.SH,2019-05-13,32.8
637,600609.SH,2019-05-13,4.09
638,600887.SH,2019-05-13,30.4
639,601318.SH,2019-05-13,78.65
640,600036.SH,2019-05-10,33.61
641,600609.SH,2019-05-10,4.17
642,600887.SH,2019-05-10,30.26
643,601318.SH,2019-05-10,81.38
644,600036.SH,2019-05-09,32.42
645,600609.SH,2019-05-09,4.06
646,600887.SH,2019-05-09,29.18
647,601318.SH,2019-05-09,76.66
648,600036.SH,2019-05-08,33.13
649,600609.SH,2019-05-08,4.13
650,600887.SH,2019-05-08,30.14
651,601318.SH,2019-05-08,78.78
652,600036.SH,2019-05-07,33.71
653,600609.SH,2019-05-07,4.18
654,600887.SH,2019-05-07,30.55
655,601318.SH,2019-05-07,81.17
656,600036.SH,2019-05-06,33.91
657,600609.SH,2019-05-06,4.19
658,600887.SH,2019-05-06,30.0
659,601318.SH,2019-05-06,81.2
660,600036.SH,2019-04-30,34.45
661,600609.SH,2019-04-30,4.65
662,600887.SH,2019-04-30,31.0
663,601318.SH,2019-04-30,86.1
664,600036.SH,2019-04-29,35.33
665,600609.SH,2019-04-29,4.5
666,600887.SH,2019-04-29,30.75
667,601318.SH,2019-04-29,86.43
668,600036.SH,2019-04-26,34.36
